name,count,count_2012,names
Lyda,4835,39324.0,Lyda
Alfreda,11368,39210.0,Alfreda
Theodora,9459,39049.0,Theodora
Silvia,18978,39025.0,Silvia
Manuela,10037,38975.0,Manuela
Leonora,6633,38919.0,Leonora
Selina,16650,38716.0,Selina
Vina,5110,38706.0,Vina
Annetta,8707,38579.0,Annetta
Blanca,24082,38542.0,Blanca
Lavina,6302,38465.0,Lavina
Mayra,31289,38416.0,Mayra
Tena,8092,38409.0,Tena
Shana,29263,38231.0,Shana
Zola,6555,38203.0,Zola
Shanna,28091,38055.0,Shanna
Era,5439,37966.0,Era
Esperanza,17491,37844.0,Esperanza
Zula,4309,37739.0,Zula
Francesca,25173,37645.0,Francesca
Tania,27008,37408.0,Tania
Sasha,31597,37384.0,Sasha
Susana,19671,37175.0,Susana
Reta,8612,37055.0,Reta
Amalia,10429,36775.0,Amalia
Lara,25235,36773.0,Lara
Josefina,12845,36753.0,Josefina
Deana,23198,36488.0,Deana
Kyra,31634,36478.0,Kyra
Latasha,30141,36428.0,Latasha
Twila,11557,35780.0,Twila
Kira,30060,35562.0,Kira
Delma,8435,35439.0,Delma
Tatiana,30839,35352.0,Tatiana
Leatha,6023,35305.0,Leatha
Lilla,4041,35233.0,Lilla
Marianna,14173,35115.0,Marianna
Alaina,30091,35100.0,Alaina
Albina,4910,34669.0,Albina
Angelita,11357,34584.0,Angelita
Benita,13491,34525.0,Benita
Kassandra,29982,34414.0,Kassandra
Camila,33974,34296.0,Camila
Marta,16607,34170.0,Marta
Treva,9580,34155.0,Treva
Carissa,27090,34122.0,Carissa
Debora,28995,34057.0,Debora
Gena,12734,34005.0,Gena
Almeda,4400,33955.0,Almeda
Ciara,31482,33917.0,Ciara
Athena,21439,33843.0,Athena
Adelia,4621,33785.0,Adelia
Asia,29828,33672.0,Asia
Lyla,17084,33476.0,Lyla
Alondra,33090,33447.0,Alondra
Saundra,17823,33391.0,Saundra
Magnolia,6731,33172.0,Magnolia
Ima,6784,33160.0,Ima
Celina,13438,32987.0,Celina
Shayla,27966,32968.0,Shayla
Esta,4371,32917.0,Esta
Brenna,26541,32886.0,Brenna
Roma,7348,32814.0,Roma
Ira,5231,32591.0,Ira
Alda,4950,32431.0,Alda
Eleanora,5359,32425.0,Eleanora
Fatima,26387,32255.0,Fatima
Tonia,22106,32254.0,Tonia
Aida,11464,32233.0,Aida
Elmira,4239,32198.0,Elmira
Adella,5070,32135.0,Adella
Eda,3946,32105.0,Eda
Paulina,15791,31955.0,Paulina
Angelia,21845,31882.0,Angelia
Aletha,6878,31466.0,Aletha
Lavinia,4731,31375.0,Lavinia
Malissa,8754,31167.0,Malissa
Luna,10854,31036.0,Luna
Rosina,5229,30682.0,Rosina
Zona,4426,30534.0,Zona
Jayla,30860,30522.0,Jayla
Maura,18216,30492.0,Maura
Luisa,11085,30437.0,Luisa
Ericka,22610,30326.0,Ericka
Corina,15078,30262.0,Corina
Roxanna,12454,30070.0,Roxanna
Maritza,21446,29972.0,Maritza
Gilda,9991,29971.0,Gilda
Mckenna,29412,29917.0,Mckenna
Delphia,4210,29867.0,Delphia
Laila,24300,29774.0,Laila
Florida,3527,29730.0,Florida
Hilma,2999,29726.0,Hilma
Luvenia,3932,29553.0,Luvenia
Novella,5620,29363.0,Novella
America,11141,29312.0,America
Mara,18090,29277.0,Mara
Latonya,21703,29212.0,Latonya
Kenya,22299,29086.0,Kenya
Cierra,26678,28996.0,Cierra
Tamika,22675,28978.0,Tamika
Emelia,6622,28756.0,Emelia
Velda,7554,28714.0,Velda
Madonna,9467,28702.0,Madonna
Savanna,26683,28645.0,Savanna
Keisha,21622,28583.0,Keisha
Valentina,19199,28580.0,Valentina
Albertha,5144,28525.0,Albertha
Rosalia,6830,28496.0,Rosalia
Dortha,6811,28491.0,Dortha
Retta,3339,28473.0,Retta
Adelina,7994,28454.0,Adelina
Sheena,22139,28375.0,Sheena
Tressa,6855,28334.0,Tressa
Altha,3364,28312.0,Altha
Tiana,23565,28305.0,Tiana
Larissa,21320,28240.0,Larissa
Catalina,13205,28195.0,Catalina
Nova,7171,28053.0,Nova
Justina,11557,27997.0,Justina
Elissa,15764,27668.0,Elissa
Portia,10285,27393.0,Portia
Doretha,8562,27372.0,Doretha
Alida,4278,27286.0,Alida
Inga,3878,27227.0,Inga
Graciela,14821,27130.0,Graciela
Daniella,22993,27082.0,Daniella
Dakota,25541,27024.0,Dakota
Tiara,22570,26844.0,Tiara
Janna,15033,26832.0,Janna
Lilia,10894,26798.0,Lilia
Filomena,5178,26780.0,Filomena
Sabina,6948,26746.0,Sabina
Verla,6189,26677.0,Verla
Eulalia,4269,26667.0,Eulalia
Alina,21283,26519.0,Alina
Melisa,18251,26510.0,Melisa
Rilla,2542,26238.0,Rilla
Rosalinda,14339,26198.0,Rosalinda
Lenna,3334,26170.0,Lenna
Viva,3425,26084.0,Viva
Jaunita,6892,25994.0,Jaunita
Tabatha,19207,25926.0,Tabatha
Chandra,17210,25853.0,Chandra
Elvera,5188,25841.0,Elvera
Danna,15658,25774.0,Danna
Lawanda,12087,25759.0,Lawanda
Vonda,10307,25695.0,Vonda
Marva,10343,25613.0,Marva
Lolita,8479,25531.0,Lolita
Eldora,4053,25509.0,Eldora
Carmelita,6810,25369.0,Carmelita
Louvenia,3625,25353.0,Louvenia
Lavada,4425,25316.0,Lavada
Latisha,18310,25267.0,Latisha
Alanna,18455,25252.0,Alanna
Elenora,3247,25240.0,Elenora
Elna,4383,25186.0,Elna
Kiana,22376,24945.0,Kiana
Tanisha,18887,24898.0,Tanisha
Thea,8269,24839.0,Thea
Theda,6522,24669.0,Theda
Josefa,3938,24527.0,Josefa
Minna,2757,24387.0,Minna
Elida,7306,24243.0,Elida
Carlotta,6120,24226.0,Carlotta
Deena,13177,24203.0,Deena
Yetta,3788,24202.0,Yetta
Rosia,3501,24135.0,Rosia
Talia,20462,24082.0,Talia
Ouida,4886,24063.0,Ouida
Verona,4005,23927.0,Verona
Aisha,18382,23848.0,Aisha
Casandra,15494,23806.0,Casandra
Oleta,5457,23712.0,Oleta
Eloisa,5979,23701.0,Eloisa
Ofelia,8019,23672.0,Ofelia
Paola,20533,23613.0,Paola
Arvilla,2930,23558.0,Arvilla
Julissa,20564,23536.0,Julissa
Nella,3507,23506.0,Nella
Nedra,7093,23432.0,Nedra
Keira,22273,23336.0,Keira
Elaina,16973,23237.0,Elaina
Velva,4273,23077.0,Velva
Vena,2739,22981.0,Vena
Karissa,18448,22922.0,Karissa
Dorotha,4787,22869.0,Dorotha
Ardella,3446,22815.0,Ardella
Dayna,13958,22793.0,Dayna
Patrica,9143,22604.0,Patrica
Tamra,13658,22373.0,Tamra
Eliana,20565,22361.0,Eliana
Makenna,22195,22334.0,Makenna
Neta,3196,22230.0,Neta
Lidia,9530,22199.0,Lidia
Imelda,7049,22164.0,Imelda
Viviana,17162,21938.0,Viviana
Elvia,7231,21908.0,Elvia
Perla,17041,21889.0,Perla
Leda,3228,21874.0,Leda
Gayla,10832,21773.0,Gayla
Zena,5028,21739.0,Zena
Terra,14325,21720.0,Terra
Manda,3288,21679.0,Manda
Ara,2833,21623.0,Ara
Drucilla,3547,21609.0,Drucilla
Melina,13774,21550.0,Melina
Dara,11864,21461.0,Dara
Fiona,17979,21438.0,Fiona
Tamera,13815,21373.0,Tamera
Micaela,12052,21318.0,Micaela
Christena,2824,21205.0,Christena
Alayna,18947,21142.0,Alayna
Malia,16899,21125.0,Malia
Linnea,8029,21087.0,Linnea
Rebeca,11837,21071.0,Rebeca
Roxana,10654,21042.0,Roxana
Barbra,7746,20959.0,Barbra
Nila,5620,20896.0,Nila
Estela,7801,20792.0,Estela
Nia,17843,20711.0,Nia
Cleta,4012,20664.0,Cleta
Tyra,13952,20568.0,Tyra
Amaya,20824,20564.0,Amaya
Meda,1871,20410.0,Meda
Aleta,6307,20350.0,Aleta
Thalia,11200,20334.0,Thalia
Roseanna,5534,20215.0,Roseanna
Evangelina,8238,20172.0,Evangelina
Kiera,17584,20147.0,Kiera
Jena,12774,20142.0,Jena
Alecia,11656,20127.0,Alecia
Elvina,2482,20115.0,Elvina
Nena,4733,20062.0,Nena
Delta,3386,19988.0,Delta
Maricela,12293,19736.0,Maricela
Stacia,8892,19730.0,Stacia
Shayna,15030,19670.0,Shayna
Margaretta,2534,19663.0,Margaretta
Alivia,18834,19571.0,Alivia
Suzanna,8882,19518.0,Suzanna
Evelina,3737,19436.0,Evelina
Zenobia,4089,19428.0,Zenobia
Alena,10674,19389.0,Alena
Venita,5684,19389.0,Venita
Sena,2497,19362.0,Sena
Twyla,6696,19337.0,Twyla
Nyla,12382,19234.0,Nyla
Tilda,1838,19218.0,Tilda
Elisha,12916,19059.0,Elisha
Willia,3315,19051.0,Willia
Alverta,2441,18976.0,Alverta
